Nazwa	Grupa	Profil	W³¹czony	Akcja	Zast¹p	Program	Adres lokalny	Adres zdalny	Protokó³	Port lokalny	Port zdalny	Autoryzowane komputery	Autoryzowane lokalne podmioty zabezpieczeñ	W³aœciciel u¿ytkownika lokalnego	PolicyAppId	Pakiet aplikacji	
Odnajdowanie sieci (ruch wychodz¹cy SSDP)	Odnajdowanie sieci	Prywatny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	Dowolne	1900	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci (ruch wychodz¹cy UPnP)	Odnajdowanie sieci	Domena	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	TCP	Dowolne	2869	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci (ruch wychodz¹cy UPnP)	Odnajdowanie sieci	Prywatny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	TCP	Dowolne	2869	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci (ruch wychodz¹cy UPnP)	Odnajdowanie sieci	Publiczny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	TCP	Dowolne	2869	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci (ruch wychodz¹cy UPnPHost)	Odnajdowanie sieci	Publiczny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	TCP	Dowolne	2869	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci (ruch wychodz¹cy UPnPHost)	Odnajdowanie sieci	Domena	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	TCP	Dowolne	2869	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci (ruch wychodz¹cy UPnPHost)	Odnajdowanie sieci	Prywatny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	TCP	Dowolne	2869	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci (ruch wychodz¹cy WSD)	Odnajdowanie sieci	Prywatny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	Dowolne	3702	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci (ruch wychodz¹cy WSD)	Odnajdowanie sieci	Domena	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	Dowolne	3702	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Odnajdowanie sieci (ruch wychodz¹cy WSD)	Odnajdowanie sieci	Publiczny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	Dowolne	3702	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
